execution,n_process,time
1,2,23.62
2,2,22.73
3,2,23.69
4,2,25.11
5,2,24.87
6,2,23.80
7,2,24.05
8,2,34.30
9,2,31.72
10,2,30.19
11,2,32.51
12,2,30.50
13,2,35.37
14,2,26.46
15,2,35.52
1,4,11.4315
2,4,10.6817
3,4,10.8854
4,4,10.6716
5,4,10.7840
6,4,11.8470
7,4,11.1220
8,4,10.7809
9,4,11.0729
10,4,11.3522
11,4,10.7514
12,4,10.9688
13,4,11.2161
14,4,11.5094
15,4,11.2901
1,8,7.4401
2,8,8.3769
3,8,7.8126
4,8,7.5893
5,8,7.3324
6,8,7.5536
7,8,7.7389
8,8,7.5640
9,8,7.3606
10,8,7.4918
11,8,7.3650
12,8,7.7338
13,8,7.4227
14,8,7.8990
15,8,7.5382
1,16,6.7101
2,16,6.8816
3,16,5.8208
4,16,5.8382
5,16,5.7916
6,16,6.5559
7,16,6.0481
8,16,6.3654
9,16,5.8554
10,16,5.7586
11,16,6.3805
12,16,6.3559
13,16,5.9594
14,16,5.7896
15,16,6.3871
