execution,n_threads,n_process,time,,,,,,,,,,,,,,
1,1,2,27.3320,,,,,,,,,,,,,,
2,1,2,26.3810,,,,,,,,,,,,,,
3,1,2,26.8410,,,,,,,,,,,,,,
4,1,2,28.3040,,,,,,,,,,,,,,
5,1,2,26.8440,,,,,,,,,,,,,,
6,1,2,26.6170,,,,,,,,,,,,,,
7,1,2,26.4720,,,,,,,,,,,,,,
8,1,2,26.8950,,,,,,,,,,,,,,
9,1,2,26.6810,,,,,,,,,,,,,,
10,1,2,26.8180,,,,,,,,,,,,,,
11,1,2,26.3740,,,,,,,,,,,,,,
12,1,2,27.6470,,,,,,,,,,,,,,
13,1,2,27.2970,,,,,,,,,,,,,,
14,1,2,26.5200,,,,,,,,,,,,,,
15,1,2,26.9440,,,,,,,,,,,,,,
1,2,2,18.5130,,,,,,,,,,,,,,
2,2,2,18.0770,,,,,,,,,,,,,,
3,2,2,18.3660,,,,,,,,,,,,,,
4,2,2,19.6190,,,,,,,,,,,,,,
5,2,2,18.6180,,,,,,,,,,,,,,
6,2,2,18.2070,,,,,,,,,,,,,,
7,2,2,18.7170,,,,,,,,,,,,,,
8,2,2,18.9360,,,,,,,,,,,,,,
9,2,2,18.4750,,,,,,,,,,,,,,
10,2,2,17.9330,,,,,,,,,,,,,,
11,2,2,17.9450,,,,,,,,,,,,,,
12,2,2,18.0120,,,,,,,,,,,,,,
13,2,2,18.4630,,,,,,,,,,,,,,
14,2,2,18.7670,,,,,,,,,,,,,,
15,2,2,17.9420,,,,,,,,,,,,20.8078,(+0.3548),#
1,4,2,18.6010,,,,,,,,,,,,20.7812,(+0.3282),#
2,4,2,17.8210,,,,,,,,,,,,20.4088,(-0.0442),#
3,4,2,17.5740,,,,,,,,,,,,20.5625,(+0.1095),#
4,4,2,17.5430,,,,,,,,,,,,20.7670,(+0.3140),#
5,4,2,17.9720,,,,,,,,,,,,20.4004,(-0.0526),#
6,4,2,17.6600,,,,,,,,,,,,20.6176,(+0.1646),#
7,4,2,18.2710,,,,,,,,,,,,20.2791,(-0.1739),#
8,4,2,18.9190,,,,,,,,,,,,20.1808,(-0.2722),#
9,4,2,22.0320,,,,,,,,,,,,20.5736,(+0.1206),#
10,4,2,21.7590,,,,,,,,,,,,20.1712,(-0.2818),#
11,4,2,21.2760,,,,,,,,,,,,20.1406,(-0.3124),#
12,4,2,22.6490,,,,,,,,,,,,20.4659,(+0.0129),#
13,4,2,22.5030,,,,,,,,,,,,20.3031,(-0.1499),#
14,4,2,21.4060,,,,,,,,,,,,,,
15,4,2,21.5190,,,,,,,,,,,,,,
1,8,2,20.3352,,,,,,,,,,,,,,
2,8,2,20.8078,,,,,,,,,,,,,,
3,8,2,20.7812,,,,,,,,,,,,,,
4,8,2,20.4088,,,,,,,,,,,,,,
5,8,2,20.5625,,,,,,,,,,,,,,
6,8,2,20.7670,,,,,,,,,,,,,,
7,8,2,20.4004,,,,,,,,,,,,,,
8,8,2,20.6176,,,,,,,,,,,,,,
9,8,2,20.2791,,,,,,,,,,,,,,
10,8,2,20.1808,,,,,,,,,,,,,,
11,8,2,20.5736,,,,,,,,,,,,,,
12,8,2,20.1712,,,,,,,,,,,,,,
13,8,2,20.1406,,,,,,,,,,,,,,
14,8,2,20.4659,,,,,,,,,,,,,,
15,8,2,20.3031,,,,,,,,,,,,,,
1,16,2,19.8109,,,,,,,,,,,,,,
2,16,2,19.2667,,,,,,,,,,,,,,
3,16,2,19.9958,,,,,,,,,,,,,,
4,16,2,19.6348,,,,,,,,,,,,,,
5,16,2,19.9678,,,,,,,,,,,,,,
6,16,2,19.2146,,,,,,,,,,,,,,
7,16,2,19.7474,,,,,,,,,,,,,,
8,16,2,19.4787,,,,,,,,,,,,,,
9,16,2,19.8796,,,,,,,,,,,,,,
10,16,2,19.8909,,,,,,,,,,,,,,
11,16,2,20.0819,,,,,,,,,,,,,,
12,16,2,19.2870,,,,,,,,,,,,,,
13,16,2,20.0206,,,,,,,,,,,,,,
14,16,2,19.5472,,,,,,,,,,,,,,
15,16,2,19.7633,,,,,,,,,,,,,,
1,32,2,19.1273,,,,,,,,,,,,,,
2,32,2,19.4076,,,,,,,,,,,,,,
3,32,2,19.3430,,,,,,,,,,,,,,
4,32,2,19.3954,,,,,,,,,,,,,,
5,32,2,19.4532,,,,,,,,,,,,,,
6,32,2,19.5256,,,,,,,,,,,,,,
7,32,2,19.3960,,,,,,,,,,,,,,
8,32,2,19.4062,,,,,,,,,,,,,,
9,32,2,19.4440,,,,,,,,,,,,,,
10,32,2,19.4179,,,,,,,,,,,,,,
11,32,2,19.6604,,,,,,,,,,,,,,
12,32,2,19.3700,,,,,,,,,,,,,,
13,32,2,19.3390,,,,,,,,,,,,,,
14,32,2,19.3277,,,,,,,,,,,,,,
15,32,2,19.3317,,,,,,,,,,,,,,
1,1,4,11.8726,,,,,,,,,,,,,,
2,1,4,12.0511,,,,,,,,,,,,,,
3,1,4,11.8075,,,,,,,,,,,,,,
4,1,4,11.7755,,,,,,,,,,,,,,
5,1,4,11.8034,,,,,,,,,,,,,,
6,1,4,11.9463,,,,,,,,,,,,,,
7,1,4,11.7519,,,,,,,,,,,,,,
8,1,4,12.0350,,,,,,,,,,,,,,
9,1,4,11.9078,,,,,,,,,,,,,,
10,1,4,11.9895,,,,,,,,,,,,,,
11,1,4,11.8938,,,,,,,,,,,,,,
12,1,4,12.1176,,,,,,,,,,,,,,
13,1,4,11.7873,,,,,,,,,,,,,,
14,1,4,11.9680,,,,,,,,,,,,,,
15,1,4,12.3178,,,,,,,,,,,,,,
1,2,4,8.3653,,,,,,,,,,,,,,
2,2,4,7.9331,,,,,,,,,,,,,,
3,2,4,8.1208,,,,,,,,,,,,,,
4,2,4,7.7504,,,,,,,,,,,,,,
5,2,4,8.2090,,,,,,,,,,,,,,
6,2,4,8.0638,,,,,,,,,,,,,,
7,2,4,7.8478,,,,,,,,,,,,,,
8,2,4,8.3188,,,,,,,,,,,,,,
9,2,4,7.8954,,,,,,,,,,,,,,
10,2,4,8.0195,,,,,,,,,,,,,,
11,2,4,7.8316,,,,,,,,,,,,,,
12,2,4,8.3364,,,,,,,,,,,,,,
13,2,4,7.7902,,,,,,,,,,,,,,
14,2,4,7.8247,,,,,,,,,,,,,,
15,2,4,8.2685,,,,,,,,,,,,,,
1,4,4,6.5877,,,,,,,,,,,,,,
2,4,4,6.8910,,,,,,,,,,,,,,
3,4,4,6.2755,,,,,,,,,,,,,,
4,4,4,6.0516,,,,,,,,,,,,,,
5,4,4,6.4260,,,,,,,,,,,,,,
6,4,4,6.2238,,,,,,,,,,,,,,
7,4,4,6.2792,,,,,,,,,,,,,,
8,4,4,5.8634,,,,,,,,,,,,,,
9,4,4,5.8231,,,,,,,,,,,,,,
10,4,4,6.1792,,,,,,,,,,,,,,
11,4,4,6.2434,,,,,,,,,,,,,,
12,4,4,6.1557,,,,,,,,,,,,,,
13,4,4,6.2447,,,,,,,,,,,,,,
14,4,4,6.4575,,,,,,,,,,,,,,
15,4,4,6.6270,,,,,,,,,,,,,,
1,8,4,5.7253,,,,,,,,,,,,,,
2,8,4,5.5977,,,,,,,,,,,,,,
3,8,4,5.5101,,,,,,,,,,,,,,
4,8,4,5.3517,,,,,,,,,,,,,,
5,8,4,5.3947,,,,,,,,,,,,,,
6,8,4,5.4951,,,,,,,,,,,,,,
