execution,n_threads,n_process,time
1,1,2,30.38544
2,1,2,31.01714
3,1,2,28.72913
4,1,2,28.20715
5,1,2,22.88907
6,1,2,16.36576
7,1,2,16.86210
8,1,2,16.47366
9,1,2,16.65635
10,1,2,16.43265
11,1,2,16.42491
12,1,2,16.51679
13,1,2,16.78176
14,1,2,17.45797
15,1,2,16.56166
1,2,2,11.76541
2,2,2,11.87214
3,2,2,11.90633
4,2,2,11.45240
5,2,2,11.54171
6,2,2,11.34089
7,2,2,11.41343
8,2,2,12.34923
9,2,2,12.83986
10,2,2,11.54561
11,2,2,12.64864
12,2,2,11.74796
13,2,2,11.93076
14,2,2,11.34862
15,2,2,11.51695
1,4,2,11.62456
2,4,2,11.31455
3,4,2,11.92453
4,4,2,11.91993
5,4,2,11.73847
6,4,2,11.60112
7,4,2,12.61979
8,4,2,12.00596
9,4,2,12.10330
10,4,2,12.48378
11,4,2,11.94337
12,4,2,12.66030
13,4,2,11.70240
14,4,2,13.01605
15,4,2,11.68408
1,8,2,12.89279
2,8,2,12.22664
3,8,2,11.79746
4,8,2,11.34693
5,8,2,11.83996
6,8,2,11.09847
7,8,2,11.52892
8,8,2,11.21871
9,8,2,11.59926
10,8,2,11.30840
11,8,2,11.50331
12,8,2,11.51112
13,8,2,12.75469
14,8,2,11.67169
15,8,2,11.76371
1,16,2,11.38626
2,16,2,11.40232
3,16,2,11.74207
4,16,2,11.25440
5,16,2,11.76970
6,16,2,11.62387
7,16,2,11.76426
8,16,2,11.85460
9,16,2,12.27280
10,16,2,11.44758
11,16,2,11.85910
12,16,2,11.86248
13,16,2,12.36798
14,16,2,11.38213
15,16,2,12.33228
1,32,2,13.17376
2,32,2,11.97053
3,32,2,12.04389
4,32,2,11.67878
5,32,2,11.88034
6,32,2,11.88070
7,32,2,12.18598
8,32,2,12.06017
9,32,2,12.19064
10,32,2,11.56308
11,32,2,12.53639
12,32,2,12.47871
13,32,2,11.80696
14,32,2,11.68542
15,32,2,12.27237
1,1,4,10.65049
2,1,4,10.76927
3,1,4,10.70909
4,1,4,9.97530
5,1,4,10.32560
6,1,4,10.83001
