execution,n_threads,n_process,time
1,1,2,23.62
2,1,2,22.73
3,1,2,23.69
4,1,2,25.11
5,1,2,24.87
6,1,2,23.80
7,1,2,24.05
8,1,2,34.30
9,1,2,31.72
10,1,2,30.19
11,1,2,32.51
12,1,2,30.50
13,1,2,35.37
14,1,2,26.46
15,1,2,35.52
1,2,2,26.8640
2,2,2,37.9260
3,2,2,39.5730
4,2,2,39.5790
5,2,2,39.7430
6,2,2,39.0730
7,2,2,39.5130
8,2,2,39.8490
9,2,2,38.8620
10,2,2,40.5830
11,2,2,43.5040
12,2,2,35.0210
13,2,2,38.3470
14,2,2,39.0490
15,2,2,38.4870
1,4,2,39.13
2,4,2,24.16
3,4,2,17.10
4,4,2,17.22
5,4,2,18.34
6,4,2,17.02
7,4,2,18.72
8,4,2,17.08
9,4,2,17.55
10,4,2,17.19
11,4,2,17.54
12,4,2,17.62
13,4,2,17.39
14,4,2,18.64
15,4,2,18.60
1,8,2,17.2370
2,8,2,17.4400
3,8,2,18.7110
4,8,2,18.2910
5,8,2,17.5260
6,8,2,18.8270
7,8,2,17.4850
8,8,2,17.9720
9,8,2,17.4450
10,8,2,18.1930
11,8,2,17.7260
12,8,2,18.4570
13,8,2,17.5760
14,8,2,18.0510
15,8,2,18.4320
1,16,2,19.1980
2,16,2,18.9070
3,16,2,18.9180
4,16,2,18.7200
5,16,2,19.0420
6,16,2,19.4630
7,16,2,18.8280
8,16,2,17.9800
9,16,2,19.2330
10,16,2,17.9960
11,16,2,17.8240
12,16,2,17.9130
13,16,2,17.9490
14,16,2,18.2600
15,16,2,18.1330
1,32,2,18.325
2,32,2,20.082
3,32,2,18.474
4,32,2,19.321
5,32,2,18.312
6,32,2,18.920
7,32,2,18.160
8,32,2,19.464
9,32,2,19.499
10,32,2,19.640
11,32,2,19.352
12,32,2,20.207
13,32,2,21.309
14,32,2,20.383
15,32,2,21.661
1,1,4,11.4315
2,1,4,10.6817
3,1,4,10.8854
4,1,4,10.6716
5,1,4,10.7840
6,1,4,11.8470
7,1,4,11.1220
8,1,4,10.7809
9,1,4,11.0729
10,1,4,11.3522
11,1,4,10.7514
12,1,4,10.9688
13,1,4,11.2161
14,1,4,11.5094
15,1,4,11.2901
1,2,4,10.8197
2,2,4,10.7292
3,2,4,10.8204
4,2,4,10.7455
5,2,4,11.7961
6,2,4,11.4595
7,2,4,11.3438
8,2,4,10.7756
9,2,4,10.7280
10,2,4,10.7723
11,2,4,10.9019
12,2,4,11.1903
13,2,4,11.6608
14,2,4,11.2643
15,2,4,10.6468
1,4,4,10.7139
2,4,4,11.0002
3,4,4,11.1283
4,4,4,11.1096
5,4,4,11.6175
6,4,4,11.3027
7,4,4,10.8791
8,4,4,10.9717
9,4,4,11.1891
10,4,4,10.9078
11,4,4,10.7521
12,4,4,10.5863
13,4,4,10.6592
14,4,4,10.7730
15,4,4,10.6897
1,8,4,11.0820
2,8,4,10.9880
3,8,4,10.5950
4,8,4,10.9730
5,8,4,11.2060
6,8,4,10.6760
7,8,4,10.6790
8,8,4,10.6670
9,8,4,11.0790
10,8,4,11.3410
11,8,4,12.0230
12,8,4,10.7920
13,8,4,10.6550
14,8,4,10.8870
15,8,4,11.5790
1,16,4,11.0320
2,16,4,10.6220
3,16,4,10.6550
4,16,4,10.6150
5,16,4,10.6200
6,16,4,11.3220
7,16,4,11.7190
8,16,4,11.2670
9,16,4,11.5080
10,16,4,11.8090
11,16,4,11.0820
12,16,4,11.4200
13,16,4,11.0260
14,16,4,10.9230
15,16,4,10.6470
1,32,4,12.0020
2,32,4,11.2510
3,32,4,10.9160
4,32,4,10.6240
5,32,4,10.9290
6,32,4,10.7390
7,32,4,10.5510
8,32,4,10.7990
9,32,4,11.5240
10,32,4,10.9960
11,32,4,11.6750
12,32,4,10.6160
13,32,4,10.7180
14,32,4,10.6030
15,32,4,11.5390
1,1,8,7.4401
2,1,8,8.3769
3,1,8,7.8126
4,1,8,7.5893
5,1,8,7.3324
6,1,8,7.5536
7,1,8,7.7389
8,1,8,7.5640
9,1,8,7.3606
10,1,8,7.4918
11,1,8,7.3650
12,1,8,7.7338
13,1,8,7.4227
14,1,8,7.8990
15,1,8,7.5382
1,2,8,8.0886
2,2,8,7.6213
3,2,8,7.5633
4,2,8,7.4232
5,2,8,7.7173
6,2,8,7.7987
7,2,8,7.8157
8,2,8,7.6160
9,2,8,7.8995
10,2,8,8.0604
11,2,8,7.4612
12,2,8,7.4581
13,2,8,7.6342
14,2,8,7.4773
15,2,8,7.8547
1,4,8,7.4452
2,4,8,7.3553
3,4,8,7.4547
4,4,8,7.6534
5,4,8,7.3696
6,4,8,7.9276
7,4,8,7.7546
8,4,8,8.4435
9,4,8,7.6977
10,4,8,7.4531
11,4,8,7.9472
12,4,8,7.5437
13,4,8,7.4741
14,4,8,7.6797
15,4,8,7.4098
1,8,8,7.5182
2,8,8,7.4715
3,8,8,8.0395
4,8,8,7.6074
5,8,8,7.5492
6,8,8,7.4752
7,8,8,7.7958
8,8,8,7.5006
9,8,8,7.6496
10,8,8,7.4716
11,8,8,7.7530
12,8,8,7.8410
13,8,8,7.8059
14,8,8,7.6113
15,8,8,7.8076
1,16,8,7.3717
2,16,8,7.6769
3,16,8,7.4878
4,16,8,7.8098
5,16,8,7.5741
6,16,8,8.1461
7,16,8,7.3931
8,16,8,7.7948
9,16,8,7.6391
10,16,8,7.7074
11,16,8,7.5399
12,16,8,7.7936
13,16,8,7.5053
14,16,8,7.7881
15,16,8,7.4344
1,32,8,7.7563
2,32,8,7.3889
3,32,8,7.7611
4,32,8,7.8016
5,32,8,7.8524
6,32,8,7.5314
7,32,8,7.7948
8,32,8,7.5295
9,32,8,7.9030
10,32,8,7.4144
11,32,8,8.0705
12,32,8,7.5044
13,32,8,8.2643
14,32,8,7.6022
15,32,8,7.4262
1,1,16,6.9827
2,1,16,6.8128
3,1,16,5.7960
4,1,16,5.8810
5,1,16,5.9951
6,1,16,6.4466
7,1,16,6.2435
8,1,16,6.0483
9,1,16,6.0190
10,1,16,6.4491
11,1,16,6.7742
12,1,16,6.5177
13,1,16,5.8402
14,1,16,5.9730
15,1,16,6.3081
1,2,16,5.9080
2,2,16,6.4320
3,2,16,5.8807
4,2,16,6.0017
5,2,16,6.9276
6,2,16,6.1628
7,2,16,5.8817
8,2,16,6.1425
9,2,16,6.3254
10,2,16,7.0169
11,2,16,6.0570
12,2,16,5.9609
13,2,16,6.1365
14,2,16,6.3703
15,2,16,6.1943
1,4,16,5.9683
2,4,16,6.3154
3,4,16,6.2420
4,4,16,6.4155
5,4,16,5.8649
6,4,16,6.0273
7,4,16,6.6610
8,4,16,6.1915
9,4,16,6.3668
10,4,16,5.8800
11,4,16,5.8929
12,4,16,5.8887
13,4,16,6.3931
14,4,16,6.1257
15,4,16,5.8376
1,8,16,5.8724
2,8,16,5.9396
3,8,16,6.4631
4,8,16,6.5222
5,8,16,6.4361
6,8,16,6.4452
7,8,16,6.6509
8,8,16,5.9980
9,8,16,5.8740
10,8,16,5.8689
11,8,16,5.8426
12,8,16,6.9683
13,8,16,6.2946
14,8,16,5.9140
15,8,16,5.7969
1,16,16,6.7101
2,16,16,6.8816
3,16,16,5.8208
4,16,16,5.8382
5,16,16,5.7916
6,16,16,6.5559
7,16,16,6.0481
8,16,16,6.3654
9,16,16,5.8554
10,16,16,5.7586
11,16,16,6.3805
12,16,16,6.3559
13,16,16,5.9594
14,16,16,5.7896
15,16,16,6.3871
1,32,16,6.5313
2,32,16,6.0889
3,32,16,6.3409
4,32,16,6.6705
5,32,16,6.2898
6,32,16,6.5648
7,32,16,6.0740
8,32,16,6.1377
9,32,16,6.0093
10,32,16,6.2322
11,32,16,6.3751
12,32,16,6.3526
13,32,16,6.7091
14,32,16,6.7209
15,32,16,5.9271
