execution,n_threads,n_process,time,,
1,1,2,194.5779,,
2,1,2,194.6066,,
3,1,2,194.2569,,
4,1,2,194.0509,,
5,1,2,193.9073,,
6,1,2,194.7823,,
7,1,2,194.6131,,
8,1,2,194.3144,,
9,1,2,194.2929,,
10,1,2,194.3294,,
11,1,2,194.3232,,
12,1,2,194.1663,,
13,1,2,193.7238,,
14,1,2,194.0332,,
15,1,2,194.2226,,
1,2,2,130.2150,,
2,2,2,130.9690,,
3,2,2,130.5430,,
4,2,2,129.7630,,
5,2,2,130.8310,,
6,2,2,130.9870,,
7,2,2,130.9600,,
8,2,2,130.6160,,
9,2,2,132.5540,,
10,2,2,131.1140,,
11,2,2,132.2330,,
12,2,2,130.3760,,
13,2,2,130.5130,,
14,2,2,130.6620,,
15,2,2,134.8350,,
1,4,2,129.5650,,
2,4,2,131.3780,,
3,4,2,130.3280,,
4,4,2,130.2720,,
5,4,2,130.0170,,
6,4,2,130.1650,,
7,4,2,130.1470,,
8,4,2,128.7980,,
9,4,2,130.8010,,
10,4,2,129.5560,,
11,4,2,129.4960,,
12,4,2,129.9850,,
13,4,2,130.3660,,
14,4,2,130.2500,,
15,4,2,133.5330,,
1,8,2,133.7670,,
2,8,2,131.7310,,Cmm 6993
3,8,2,131.7510,,
4,8,2,131.7610,,
5,8,2,131.6260,,
6,8,2,131.5340,,
7,8,2,131.6810,,
8,8,2,131.6460,,
9,8,2,132.4610,,
10,8,2,131.7300,,
11,8,2,132.4680,,
12,8,2,131.8930,,
13,8,2,131.6320,,
14,8,2,131.4500,,
15,8,2,131.5280,,
1,16,2,133.2090,,
2,16,2,132.2320,,
3,16,2,132.4590,,
4,16,2,132.4040,,
5,16,2,132.8770,,
6,16,2,132.8310,,
7,16,2,133.4140,,
8,16,2,132.3180,,
9,16,2,131.7110,,
10,16,2,132.4270,,
11,16,2,132.8360,,
12,16,2,132.6230,,
13,16,2,134.0160,,
14,16,2,132.0400,,
15,16,2,132.5070,,
1,32,2,133.4650,,
2,32,2,134.3280,,
3,32,2,132.6130,,
4,32,2,132.6030,,
5,32,2,132.8210,,
6,32,2,134.5260,,
7,32,2,134.6370,,
8,32,2,133.9300,,
9,32,2,133.3640,,
10,32,2,132.9530,,
11,32,2,132.2080,,
12,32,2,134.2600,,
13,32,2,133.2580,,
14,32,2,132.3410,,
15,32,2,132.6220,,
1,1,4,84.0633,,
2,1,4,83.5202,,
3,1,4,83.5095,,
4,1,4,84.0002,,
5,1,4,83.2289,,
6,1,4,83.3313,,
7,1,4,84.0733,,
8,1,4,83.7120,,
9,1,4,84.3116,,
10,1,4,83.9929,,
11,1,4,84.0051,,
12,1,4,84.2914,,
13,1,4,83.5482,,
14,1,4,84.0808,,
15,1,4,84.0885,,
1,2,4,55.1620,,
2,2,4,54.1810,,
3,2,4,53.7590,,
4,2,4,53.8280,,
5,2,4,54.0780,,
6,2,4,53.9110,,
7,2,4,54.0540,,
8,2,4,53.5880,,
9,2,4,53.8910,,
10,2,4,53.2400,,
11,2,4,53.5920,,
12,2,4,52.8430,,
13,2,4,53.4160,,
14,2,4,53.1020,,
15,2,4,53.6190,,
1,4,4,38.13,,
2,4,4,38.35,,
3,4,4,38.74,,
4,4,4,41.40,,
5,4,4,45.74,,
6,4,4,48.36,,
7,4,4,48.66,,
8,4,4,44.39,,
9,4,4,43.17,,
10,4,4,48.82,,
11,4,4,47.95,,
12,4,4,41.55,,
13,4,4,38.99,,
14,4,4,44.60,,
15,4,4,48.26,,
1,8,4,34.3250,,
2,8,4,42.2810,,
3,8,4,41.6010,,
4,8,4,39.1310,,
5,8,4,35.2870,,
6,8,4,32.7730,,
7,8,4,36.4630,,
8,8,4,39.9430,,
9,8,4,38.8430,,
10,8,4,34.9200,,
11,8,4,34.4520,,
12,8,4,33.7320,,
13,8,4,40.7980,,
14,8,4,40.6000,,
15,8,4,33.0460,,
1,16,4,32.8129,,
2,16,4,33.1563,,
3,16,4,32.3788,,
4,16,4,32.7781,,
5,16,4,33.0324,,
6,16,4,33.3914,,
7,16,4,33.0841,,
8,16,4,32.5821,,
9,16,4,33.3792,,
10,16,4,33.0086,,
11,16,4,33.0928,,
12,16,4,32.2741,,
13,16,4,32.4118,,
14,16,4,32.8500,,
15,16,4,33.2384,,
1,32,4,32.8450,,
2,32,4,33.5340,,
3,32,4,32.3930,,
4,32,4,32.6060,,
5,32,4,32.6340,,
6,32,4,33.0770,,
7,32,4,33.5970,,
8,32,4,34.3500,,
9,32,4,32.8400,,
10,32,4,31.7330,,
11,32,4,31.9520,,
12,32,4,32.3790,,
13,32,4,32.0600,,
14,32,4,32.5490,,
15,32,4,32.8590,,
1,1,8,47.7070,,
2,1,8,48.5850,,
3,1,8,48.2730,,
4,1,8,48.7480,,
5,1,8,48.9020,,
6,1,8,48.5100,,
7,1,8,48.8470,,
8,1,8,49.1890,,
9,1,8,48.4720,,
10,1,8,48.9160,,
11,1,8,48.3980,,
12,1,8,48.4810,,
13,1,8,49.1930,,
14,1,8,48.8720,,
15,1,8,48.5420,,
1,2,8,35.6550,,
2,2,8,35.7390,,
3,2,8,36.2660,,
4,2,8,36.0280,,
5,2,8,35.5720,,
6,2,8,35.8420,,
7,2,8,35.2090,,
8,2,8,35.6250,,
9,2,8,35.0230,,
10,2,8,35.1510,,
11,2,8,35.9190,,
12,2,8,36.2310,,
13,2,8,36.4200,,
14,2,8,34.9310,,
15,2,8,36.0220,,
1,4,8,30.4250,,
2,4,8,30.2560,,
3,4,8,31.0350,,
4,4,8,30.9160,,
5,4,8,30.3920,,
6,4,8,30.4520,,
7,4,8,30.1700,,
8,4,8,30.5430,,
9,4,8,31.0010,,
10,4,8,30.7800,,
11,4,8,30.6920,,
12,4,8,30.9700,,
13,4,8,31.0280,,
14,4,8,29.8240,,
15,4,8,31.7630,,
1,8,8,30.1599,,
2,8,8,30.2227,,
3,8,8,30.2664,,
4,8,8,30.3336,,
5,8,8,30.6935,,
6,8,8,30.4894,,
7,8,8,31.1000,,
8,8,8,30.9603,,
9,8,8,30.3424,,
10,8,8,30.5254,,
11,8,8,31.2776,,
12,8,8,30.7124,,
13,8,8,30.2451,,
14,8,8,30.8651,,
15,8,8,30.6440,,
1,16,8,30.5120,,
2,16,8,31.6400,,
3,16,8,30.3470,,
4,16,8,30.7470,,
5,16,8,30.0350,,
6,16,8,30.6220,,
7,16,8,31.1800,,
8,16,8,30.4700,,
9,16,8,30.5150,,
10,16,8,31.0470,,
11,16,8,30.1060,,
12,16,8,30.8580,,
13,16,8,31.5560,,
14,16,8,35.2050,,
15,16,8,37.2750,,
1,32,8,31.4480,,
2,32,8,30.6070,,
3,32,8,31.1660,,
4,32,8,30.6200,,
5,32,8,30.4050,,
6,32,8,30.6420,,
7,32,8,30.1840,,
8,32,8,31.6280,,
9,32,8,31.3370,,
10,32,8,30.2160,,
11,32,8,30.0190,,
12,32,8,30.4560,,
13,32,8,31.0220,,
14,32,8,30.8230,,
15,32,8,30.5820,,
1,1,16,37.3360,,
2,1,16,37.8380,,
3,1,16,37.3930,,
4,1,16,35.9570,,
5,1,16,38.8100,,
6,1,16,38.2280,,
7,1,16,36.7280,,
8,1,16,36.7450,,
9,1,16,36.5960,,
10,1,16,37.8300,,
11,1,16,36.8130,,
12,1,16,37.3890,,
13,1,16,38.4930,,
14,1,16,35.5770,,
15,1,16,39.5450,,
1,2,16,30.1260,,
2,2,16,29.5720,,
3,2,16,29.2380,,
4,2,16,29.3670,,
5,2,16,29.8920,,
6,2,16,30.5810,,
7,2,16,29.4880,,
8,2,16,29.9400,,
9,2,16,30.1640,,
10,2,16,30.3110,,
11,2,16,29.7080,,
12,2,16,29.9870,,
13,2,16,31.9470,,
14,2,16,34.5090,,
15,2,16,31.6030,,
1,4,16,29.1960,,
2,4,16,32.0830,,
3,4,16,30.8570,,
4,4,16,29.1510,,
5,4,16,29.8420,,
6,4,16,29.8070,,
7,4,16,29.3540,,
8,4,16,29.6900,,
9,4,16,29.2970,,
10,4,16,30.5420,,
11,4,16,29.4370,,
12,4,16,30.4090,,
13,4,16,31.0030,,
14,4,16,29.3560,,
15,4,16,30.1100,,
1,8,16,30.6690,,
2,8,16,30.0640,,
3,8,16,30.3440,,
4,8,16,30.5400,,
5,8,16,31.0690,,
6,8,16,29.6960,,
7,8,16,30.8010,,
8,8,16,30.3620,,
9,8,16,29.6070,,
10,8,16,30.1790,,
11,8,16,30.6980,,
12,8,16,29.8260,,
13,8,16,30.3410,,
14,8,16,30.3750,,
15,8,16,30.1460,,
1,16,16,30.0470,,
2,16,16,30.0370,,
3,16,16,29.4420,,
4,16,16,31.1890,,
5,16,16,28.4770,,
6,16,16,30.2780,,
7,16,16,29.5220,,
8,16,16,30.0100,,
9,16,16,30.5530,,
10,16,16,29.9530,,
11,16,16,30.4660,,
12,16,16,29.8000,,
13,16,16,29.3910,,
14,16,16,30.5330,,
15,16,16,29.3880,,
1,32,16,29.9160,,
2,32,16,29.7340,,
3,32,16,30.1080,,
4,32,16,29.1290,,
5,32,16,34.8000,,
6,32,16,30.3800,,
7,32,16,39.9600,,
8,32,16,35.0900,,
9,32,16,29.5600,,
10,32,16,30.5550,,
11,32,16,29.9050,,
12,32,16,29.5370,,
13,32,16,28.0870,,
14,32,16,30.4720,,
15,32,16,29.5810,,
