execution,n_threads,time
1,1,27.1880
2,1,26.8300
3,1,27.2214
4,1,27.1498
5,1,27.2121
6,1,27.0655
7,1,26.7816
8,1,27.1748
9,1,26.8710
10,1,27.1614
11,1,27.0939
12,1,26.9705
13,1,26.8679
14,1,26.8438
15,1,26.7974
1,2,15.9330
2,2,15.8750
3,2,16.3650
4,2,16.0980
5,2,15.6440
6,2,15.3950
7,2,15.4440
8,2,16.5090
9,2,16.0910
10,2,16.0170
11,2,16.4660
12,2,15.6490
13,2,15.4480
14,2,16.4180
15,2,15.3990
1,4,9.6313
2,4,10.0303
3,4,9.8065
4,4,9.3248
5,4,9.2840
6,4,9.7236
7,4,9.6207
8,4,9.4591
9,4,9.5971
10,4,9.9905
11,4,10.0061
12,4,9.6256
13,4,9.4899
14,4,9.5755
15,4,9.3383
1,8,5.8610
2,8,6.5370
3,8,6.8630
4,8,6.7410
5,8,6.0470
6,8,6.4830
7,8,6.2710
8,8,6.8930
9,8,5.6360
10,8,6.0470
11,8,5.6940
12,8,6.4180
13,8,6.7510
14,8,6.4230
15,8,6.4020
1,16,4.2536
2,16,4.8496
3,16,5.0514
4,16,4.9328
5,16,5.0514
6,16,4.6208
7,16,4.6100
8,16,4.3416
9,16,4.5428
10,16,4.4215
11,16,4.5327
12,16,4.9887
13,16,5.0059
14,16,4.7114
15,16,4.4694
1,32,3.8338
2,32,3.9902
3,32,3.7094
4,32,4.2123
5,32,3.7729
6,32,4.4517
7,32,4.0304
8,32,4.0504
9,32,4.1058
10,32,3.7259
11,32,4.3061
12,32,4.3175
13,32,3.8701
14,32,3.8718
15,32,4.0918
